address,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15
Shanghai,48,55,65,81,75,83,65,169,139,202,158,260,374,509,758,896,981,983,1609,2269,2676,3500,4477,5982,5653,4502,6311,8226,9006,13354,17077,19982,21222,23624,24943,26087,23342,26330,27719,23072,23513
PudongNew,3,4,3,9,10,9,34,39,23,42,44,35,67,135,220,169,237,218,193,1914,323,1427,2506,2183,2207,2407,2584,2038,3654,7071,8145,8457,9050,7286,11130,6732,8306,11049,15027,11656,10282
Minhang,7,13,12,25,14,17,11,29,26,31,18,82,59,53,265,122,305,256,490,206,972,619,370,987,780,392,1043,829,940,1381,2937,2409,2257,2854,4624,3189,3007,4245,2939,2378,2037
Xuhui,4,13,9,6,7,12,1,18,12,24,7,36,40,61,46,130,87,106,167,3,331,277,91,1100,404,226,639,1042,499,1229,920,1107,2076,1629,1150,3203,1771,1108,1492,1342,1689
Huangpu,1,0,0,1,1,5,3,12,23,12,9,20,15,36,42,49,59,20,102,23,160,56,283,110,361,121,260,659,824,970,656,1044,1380,2607,548,1761,2223,1804,1408,2013,1384
Jiading,13,12,8,16,6,12,3,19,23,21,41,35,44,81,40,103,111,69,130,19,242,251,209,255,158,54,200,617,415,237,481,1408,933,1505,369,1405,208,986,721,803,741
Jingan,1,0,2,4,2,4,2,10,6,10,3,4,12,15,32,44,28,48,70,2,108,70,104,175,102,164,189,324,338,50,232,545,381,665,602,603,552,1056,220,266,433
Yangpu,0,0,0,1,0,0,0,3,1,2,2,2,8,14,8,10,3,11,21,11,23,35,47,99,100,174,134,274,374,220,623,630,601,701,1080,1877,1420,1159,1185,817,1411
Baoshan,6,6,11,2,10,9,3,3,2,11,10,14,27,17,13,67,16,69,87,4,153,94,311,363,504,17,45,485,467,265,554,660,414,2821,2261,1839,1024,295,651,417,1323
Putuo,5,1,2,1,4,0,0,6,0,9,3,7,23,25,18,31,21,34,38,9,69,70,81,113,146,15,245,388,321,254,483,1033,957,1093,653,1001,1877,1170,475,264,426
Hongkou,0,1,0,4,6,2,0,5,4,6,10,7,19,7,12,23,13,26,29,4,50,27,8,73,84,128,61,342,188,608,410,668,594,378,349,1238,1375,931,1488,930,1497
Qingpu,0,0,3,0,5,1,0,4,0,6,1,1,16,5,4,5,20,10,13,13,22,31,57,87,77,95,87,232,232,314,384,470,493,342,557,877,331,524,319,304,536
Changning,0,0,1,1,1,1,2,4,1,4,4,1,7,12,13,26,19,11,59,4,29,45,115,30,128,256,37,100,104,33,84,350,852,614,757,387,393,1133,957,998,752
Fengxian,2,0,0,1,0,1,0,2,3,5,2,2,7,6,13,22,8,12,24,0,84,45,115,96,130,183,161,157,119,64,144,278,92,97,124,38,68,33,83,35,106
Songjiang,6,4,14,9,8,5,1,8,10,11,4,10,13,16,9,39,31,34,92,15,79,190,94,228,246,184,493,567,263,559,796,781,751,771,500,1825,691,712,657,761,773
Jinshan,0,1,0,0,0,4,4,7,4,8,0,1,17,3,11,16,4,5,12,1,4,13,19,26,33,42,49,60,103,52,77,79,129,90,68,57,38,39,34,28,31
Chongming,0,0,0,0,0,0,0,0,0,0,0,3,0,23,12,40,19,54,82,41,27,236,67,55,193,44,84,113,165,47,79,63,262,170,171,55,57,86,63,60,92
