address,lon,lat,name,city,district,town,encode
嘉定区万镇路1177弄,121.378126,31.253413,真新新村嘉德坊,上海市,嘉定区,真新街道,0210601001
嘉定区三里村,121.199999,31.452898,嘉定工业区三里村,上海市,嘉定区,徐行镇,0210602001
嘉定区世盛路777号,121.185014,31.400883,上海五丰上食食品有限公司,上海市,嘉定区,徐行镇,0210602002
嘉定区东大小区,121.255935,31.388759,东大小区,上海市,嘉定区,嘉定镇街道,0210603001
嘉定区东大街214弄,121.255734,31.388386,东大小区,上海市,嘉定区,嘉定镇街道,0210603001
嘉定区东环路129弄,121.222669,31.320195,泰东公寓(东环路),上海市,嘉定区,安亭镇,0210604001
嘉定区东街村,121.229962,31.270221,黄渡镇东街村百姓服务站,上海市,嘉定区,安亭镇,0210604002
嘉定区中佳路29弄,121.321399,31.295990,中冶祥腾城市佳园,上海市,嘉定区,南翔镇,0210605001
嘉定区中大街104弄,121.216973,31.430769,嘉定区质量技术监督局第三所,上海市,嘉定区,徐行镇,0210602003
嘉定区中大街128号,121.577467,31.117089,立雪苑小区,上海市,浦东新区,周浦镇,0210101001
嘉定区中大街140弄,121.217032,31.430785,嘉定区质量技术监督局第三所,上海市,嘉定区,徐行镇,0210602003
嘉定区中泉路129弄,121.154912,31.363912,外冈佳苑,上海市,嘉定区,外冈镇,0210606001
嘉定区丰功路555号,121.299309,31.346907,上海德东电机厂,上海市,嘉定区,马陆镇,0210607001
嘉定区丰功路888号,121.291065,31.344351,载顺物流园,上海市,嘉定区,马陆镇,0210607002
嘉定区丰功路999号,121.287872,31.341960,百诚模具厂,上海市,嘉定区,马陆镇,0210607003
嘉定区丰华公路1469弄,121.329049,31.232767,丰华苑(丰华公路),上海市,嘉定区,江桥镇,0210608001
嘉定区丰华公路1580号,121.326715,31.233236,金华新村(金华街),上海市,嘉定区,江桥镇,0210608002
嘉定区丰年路88弄,121.300908,31.360891,上海顺都印刷,上海市,嘉定区,马陆镇,0210607004
嘉定区丰庄一村,121.365756,31.247454,丰庄一村南区,上海市,嘉定区,真新街道,0210601002
嘉定区丰庄三队,121.361153,31.247324,明日新苑,上海市,嘉定区,真新街道,0210601003
嘉定区丰庄二村,121.364408,31.245698,丰庄二村,上海市,嘉定区,真新街道,0210601004
嘉定区丰庄北路151弄,121.359293,31.250350,新郁社区151弄,上海市,嘉定区,真新街道,0210601005
嘉定区丰庄北路166弄,121.358963,31.247514,新郁社区,上海市,嘉定区,真新街道,0210601006
嘉定区丰庄北路355弄,121.363998,31.249757,志能新苑,上海市,嘉定区,真新街道,0210601007
嘉定区丰庄北路375弄,121.364446,31.249716,志能新苑,上海市,嘉定区,真新街道,0210601007
嘉定区丰庄北路431号,121.366738,31.249509,振鑫花苑,上海市,嘉定区,真新街道,0210601008
嘉定区丰庄北路477弄,121.366646,31.249877,振鑫花园2期,上海市,嘉定区,真新街道,0210601009
嘉定区丰庄北路480弄,121.370612,31.248447,丰庄四村,上海市,嘉定区,真新街道,0210601010
嘉定区丰庄北路499弄,121.369529,31.249536,振鑫花苑1期,上海市,嘉定区,真新街道,0210601011
嘉定区丰庄北路5弄,121.355177,31.249762,住嘉佳园,上海市,嘉定区,真新街道,0210601012
嘉定区丰庄北路82弄,121.358687,31.248255,新郁社区,上海市,嘉定区,真新街道,0210601006
嘉定区丰庄西路 433弄,121.353613,31.246217,金沙社区,上海市,嘉定区,真新街道,0210601013
嘉定区丰庄西路395号,121.353785,31.244420,金沙嘉苑,上海市,嘉定区,真新街道,0210601014
嘉定区丰庄西路433弄,121.353613,31.246217,金沙社区,上海市,嘉定区,真新街道,0210601013
嘉定区丰庄西路460弄,121.355385,31.245564,绿地新丰苑,上海市,嘉定区,真新街道,0210601015
嘉定区丰庄西路480弄,121.355684,31.246333,十三街坊(丰庄西路),上海市,嘉定区,真新街道,0210601016
嘉定区丰庄西路551弄,121.355745,31.248068,十四街坊,上海市,嘉定区,真新街道,0210601017
嘉定区丰庄西路558弄,121.358581,31.246625,新郁社区,上海市,嘉定区,真新街道,0210601006
嘉定区丰庄路268弄,121.364171,31.244260,丽景新苑,上海市,嘉定区,真新街道,0210601018
嘉定区丰庄路295号,121.362408,31.245487,明日新苑,上海市,嘉定区,真新街道,0210601003
嘉定区丰庄路301弄,121.361309,31.246318,明日新苑,上海市,嘉定区,真新街道,0210601003
嘉定区丰庄路375弄,121.365340,31.250154,嘉定区房屋土地管理局第二办事处真新工作站,上海市,嘉定区,真新街道,0210601019
嘉定区丰庄路399弄,121.363986,31.248703,汇丰佳苑(丰庄路),上海市,嘉定区,真新街道,0210601020
嘉定区丰庄路450弄,121.365248,31.247078,丰庄一村南区,上海市,嘉定区,真新街道,0210601002
嘉定区丰庄路452号,121.365259,31.249170,丰庄一村,上海市,嘉定区,真新街道,0210601021
嘉定区丰庄路480弄,121.364314,31.245973,丰庄二村,上海市,嘉定区,真新街道,0210601004
嘉定区丰庄路540号,121.364978,31.250206,嘉定区房屋土地管理局第二办事处真新工作站,上海市,嘉定区,真新街道,0210601019
嘉定区丰庄路99弄,121.359842,31.244083,金沙丽晶苑一期,上海市,嘉定区,真新街道,0210601022
嘉定区丰江路128弄,121.345987,31.253442,江桥二村二街坊,上海市,嘉定区,江桥镇,0210608003
嘉定区丰江路188弄,121.350850,31.254669,嘉定区真新新村街道栅桥社区,上海市,嘉定区,真新街道,0210601023
嘉定区丰江路373号,121.352035,31.255024,真新街道栅桥社区居委会,上海市,嘉定区,真新街道,0210601024
嘉定区丰登路1028弄,121.285591,31.359153,九洲公寓(横仓公路),上海市,嘉定区,马陆镇,0210607005
嘉定区丰登路1551弄,121.276532,31.350798,彭赵村丰登路中区1551弄,上海市,嘉定区,马陆镇,0210607006
嘉定区丰翔路2800号,121.330238,31.305118,上海嘉宝南翔工业园区,上海市,嘉定区,南翔镇,0210605002
嘉定区丰翔路3055弄,121.327166,31.299619,曙光苑,上海市,嘉定区,南翔镇,0210605003
嘉定区丰茂路888号,121.294112,31.348769,凯纳斯家具(上海)有限公司,上海市,嘉定区,马陆镇,0210607007
嘉定区临夏路1000弄,121.322516,31.260562,富友嘉园北区,上海市,嘉定区,江桥镇,0210608004
嘉定区临夏路1004号,121.322361,31.259304,富友嘉园北区,上海市,嘉定区,江桥镇,0210608004
嘉定区临夏路1012号,121.322167,31.259401,富友嘉园北区,上海市,嘉定区,江桥镇,0210608004
嘉定区临夏路1016号,121.322047,31.259434,富友嘉园北区,上海市,嘉定区,江桥镇,0210608004
嘉定区临夏路110号,121.336291,31.258252,曹江公寓,上海市,嘉定区,江桥镇,0210608005
嘉定区临夏路256号,121.333446,31.259195,创业家园(张掖路),上海市,嘉定区,江桥镇,0210608006
嘉定区临夏路256弄,121.332982,31.259520,创业家园(张掖路),上海市,嘉定区,江桥镇,0210608006
嘉定区临夏路789号,121.328467,31.257070,汇丰沁苑,上海市,嘉定区,江桥镇,0210608007
嘉定区临夏路800弄,121.328457,31.257933,汇丰沁苑北区,上海市,嘉定区,江桥镇,0210608008
嘉定区临夏路801弄,121.328269,31.256758,汇丰沁苑南区,上海市,嘉定区,江桥镇,0210608009
嘉定区临夏路949号,121.323847,31.258412,富友嘉园南区,上海市,嘉定区,江桥镇,0210608010
嘉定区临夏路968号,121.323899,31.258639,富友嘉园北区,上海市,嘉定区,江桥镇,0210608004
嘉定区临夏路973号,121.323019,31.258763,富友嘉园南区,上海市,嘉定区,江桥镇,0210608010
嘉定区临夏路976号,121.323406,31.258610,富友嘉园南区,上海市,嘉定区,江桥镇,0210608010
嘉定区临夏路977号,121.322869,31.258848,富友嘉园南区,上海市,嘉定区,江桥镇,0210608010
嘉定区临夏路978号,121.323518,31.258851,富友嘉园北区,上海市,嘉定区,江桥镇,0210608004
嘉定区临夏路981号,121.322816,31.258869,富友嘉园南区,上海市,嘉定区,江桥镇,0210608010
嘉定区临夏路984号,121.323316,31.258933,富友嘉园北区,上海市,嘉定区,江桥镇,0210608004
嘉定区临夏路986号,121.323302,31.258963,富友嘉园北区,上海市,嘉定区,江桥镇,0210608004
