address,2022-03-27_quezhen,2022-03-27_wuzhengzhuang,2022-03-28_quezhen,2022-03-28_wuzhengzhuang,2022-03-29_quezhen,2022-03-29_wuzhengzhuang,2022-03-30_quezhen,2022-03-30_wuzhengzhuang,2022-03-31_quezhen,2022-03-31_wuzhengzhuang,2022-04-01_quezhen,2022-04-01_wuzhengzhuang,2022-04-02_quezhen,2022-04-02_wuzhengzhuang,2022-04-03_quezhen,2022-04-03_wuzhengzhuang,2022-04-04_quezhen,2022-04-04_wuzhengzhuang,2022-04-05_quezhen,2022-04-05_wuzhengzhuang,2022-04-06_quezhen,2022-04-06_wuzhengzhuang,2022-04-07_quezhen,2022-04-07_wuzhengzhuang,2022-04-08_quezhen,2022-04-08_wuzhengzhuang,2022-04-09_quezhen,2022-04-09_wuzhengzhuang,2022-04-10_quezhen,2022-04-10_wuzhengzhuang,2022-04-11_quezhen,2022-04-11_wuzhengzhuang,2022-04-12_quezhen,2022-04-12_wuzhengzhuang,2022-04-13_quezhen,2022-04-13_wuzhengzhuang,2022-04-14_quezhen,2022-04-14_wuzhengzhuang,2022-04-15_quezhen,2022-04-15_wuzhengzhuang,2022-04-16_quezhen,2022-04-16_wuzhengzhuang,2022-04-17_quezhen,2022-04-17_wuzhengzhuang,2022-04-18_quezhen,2022-04-18_wuzhengzhuang,2022-04-19_quezhen,2022-04-19_wuzhengzhuang,2022-04-20_quezhen,2022-04-20_wuzhengzhuang,2022-04-21_quezhen,2022-04-21_wuzhengzhuang,2022-04-22_quezhen,2022-04-22_wuzhengzhuang,2022-04-23_quezhen,2022-04-23_wuzhengzhuang,2022-04-24_quezhen,2022-04-24_wuzhengzhuang,2022-04-25_quezhen,2022-04-25_wuzhengzhuang,2022-04-26_quezhen,2022-04-26_wuzhengzhuang,2022-04-27_quezhen,2022-04-27_wuzhengzhuang,2022-04-28_quezhen,2022-04-28_wuzhengzhuang,2022-04-29_quezhen,2022-04-29_wuzhengzhuang,2022-04-30_quezhen,2022-04-30_wuzhengzhuang,2022-05-01_quezhen,2022-05-01_wuzhengzhuang,2022-05-02_quezhen,2022-05-02_wuzhengzhuang
PudongNew,2.0,422.0,33.0,367.0,162.0,192.0,246.0,298.0,173.0,147.0,77.0,79.0,95.0,105.0,126.0,206.0,197.0,348.0,155.0,231.0,139.0,351.0,251.0,424.0,172.0,316.0,380.0,301.0,127.0,351.0,144.0,276.0,104.0,318.0,114.0,440.0,159.0,211.0,200.0,329.0,136.0,290.0,40.0,190.0,54.0,174.0,61.0,85.0,26.0,104.0,17.0,20.0,3.0,28.0,3.0,59.0,21.0,52.0,0.0,49.0,5.0,103.0,0.0,97.0,5.0,66.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0
Huangpu,1.0,6.0,0.0,16.0,6.0,47.0,13.0,70.0,5.0,22.0,5.0,17.0,21.0,147.0,10.0,37.0,7.0,29.0,13.0,35.0,7.0,39.0,6.0,45.0,7.0,34.0,31.0,3.0,20.0,161.0,10.0,49.0,14.0,57.0,13.0,34.0,6.0,30.0,8.0,18.0,13.0,25.0,15.0,55.0,35.0,83.0,15.0,23.0,10.0,36.0,17.0,4.0,8.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,43.0
Xuhui,6.0,53.0,5.0,25.0,25.0,98.0,15.0,95.0,17.0,22.0,35.0,217.0,35.0,254.0,27.0,72.0,8.0,28.0,19.0,70.0,16.0,29.0,12.0,11.0,20.0,201.0,28.0,50.0,26.0,235.0,14.0,45.0,14.0,32.0,18.0,29.0,46.0,65.0,17.0,24.0,27.0,20.0,14.0,40.0,16.0,21.0,34.0,61.0,18.0,22.0,12.0,38.0,24.0,27.0,7.0,14.0,7.0,9.0,0.0,10.0,1.0,15.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
Changning,0.0,4.0,7.0,9.0,2.0,0.0,2.0,12.0,42.0,34.0,0.0,5.0,3.0,12.0,13.0,6.0,1.0,2.0,5.0,5.0,30.0,14.0,11.0,11.0,9.0,3.0,17.0,15.0,4.0,6.0,5.0,4.0,22.0,7.0,11.0,11.0,13.0,13.0,43.0,33.0,11.0,13.0,16.0,19.0,15.0,7.0,4.0,2.0,35.0,13.0,1.0,7.0,1.0,4.0,0.0,17.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Jingan,5.0,4.0,3.0,4.0,7.0,11.0,7.0,16.0,3.0,13.0,11.0,31.0,24.0,37.0,25.0,45.0,1.0,5.0,11.0,17.0,25.0,17.0,5.0,7.0,23.0,25.0,21.0,18.0,27.0,14.0,9.0,15.0,46.0,68.0,13.0,11.0,9.0,12.0,9.0,19.0,18.0,5.0,10.0,5.0,21.0,4.0,13.0,26.0,10.0,3.0,9.0,8.0,8.0,9.0,2.0,5.0,6.0,14.0,1.0,2.0,6.0,3.0,0.0,15.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Putuo,4.0,17.0,2.0,25.0,5.0,8.0,3.0,29.0,4.0,4.0,11.0,34.0,35.0,59.0,21.0,57.0,3.0,10.0,6.0,9.0,26.0,16.0,6.0,21.0,8.0,47.0,20.0,15.0,6.0,52.0,16.0,26.0,19.0,63.0,11.0,29.0,18.0,11.0,21.0,19.0,21.0,23.0,15.0,17.0,7.0,1.0,7.0,5.0,11.0,21.0,6.0,6.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hongkou,1.0,4.0,2.0,3.0,7.0,17.0,1.0,54.0,8.0,24.0,3.0,15.0,24.0,138.0,9.0,20.0,3.0,9.0,7.0,9.0,1.0,54.0,0.0,11.0,2.0,5.0,5.0,31.0,6.0,26.0,14.0,6.0,12.0,21.0,16.0,1.0,40.0,7.0,1.0,3.0,36.0,1.0,22.0,0.0,30.0,6.0,12.0,4.0,28.0,4.0,4.0,2.0,1.0,5.0,2.0,15.0,4.0,7.0,4.0,10.0,0.0,7.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
Yangpu,0.0,9.0,0.0,6.0,3.0,8.0,2.0,6.0,3.0,13.0,10.0,17.0,16.0,22.0,29.0,30.0,9.0,10.0,10.0,26.0,9.0,20.0,16.0,13.0,5.0,18.0,19.0,8.0,7.0,12.0,12.0,8.0,8.0,8.0,3.0,1.0,1.0,2.0,4.0,2.0,5.0,1.0,6.0,5.0,1.0,2.0,2.0,1.0,5.0,11.0,3.0,7.0,3.0,11.0,6.0,18.0,4.0,22.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minhang,5.0,40.0,2.0,26.0,20.0,45.0,18.0,81.0,52.0,60.0,57.0,153.0,39.0,82.0,46.0,60.0,8.0,31.0,14.0,51.0,20.0,34.0,60.0,31.0,23.0,39.0,31.0,46.0,46.0,40.0,37.0,28.0,20.0,18.0,34.0,13.0,14.0,9.0,32.0,9.0,16.0,3.0,3.0,21.0,6.0,10.0,8.0,1.0,26.0,7.0,18.0,27.0,12.0,17.0,6.0,20.0,17.0,16.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baoshan,5.0,15.0,7.0,12.0,30.0,60.0,1.0,18.0,4.0,8.0,9.0,19.0,28.0,54.0,22.0,64.0,1.0,2.0,5.0,14.0,9.0,17.0,4.0,4.0,6.0,15.0,23.0,14.0,16.0,14.0,3.0,9.0,14.0,14.0,11.0,6.0,19.0,1.0,3.0,1.0,7.0,7.0,7.0,4.0,9.0,4.0,4.0,0.0,20.0,8.0,10.0,3.0,6.0,18.0,7.0,30.0,2.0,15.0,11.0,24.0,1.0,23.0,0.0,18.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,11.0,119.0,12.0
