address,2022-03-01_fangcang,2022-03-02_fangcang,2022-03-03_fangcang,2022-03-04_fangcang,2022-03-05_fangcang,2022-03-06_fangcang,2022-03-07_fangcang,2022-03-08_fangcang,2022-03-09_fangcang,2022-03-10_fangcang,2022-03-11_fangcang,2022-03-12_fangcang,2022-03-13_fangcang,2022-03-14_fangcang,2022-03-15_fangcang,2022-03-16_fangcang,2022-03-17_fangcang,2022-03-18_fangcang,2022-03-19_fangcang,2022-03-20_fangcang,2022-03-21_fangcang,2022-03-22_fangcang,2022-03-23_fangcang,2022-03-24_fangcang,2022-03-25_fangcang,2022-03-26_fangcang,2022-03-27_fangcang,2022-03-27_yiyuan,2022-03-28_fangcang,2022-03-28_yiyuan,2022-03-29_fangcang,2022-03-29_yiyuan,2022-03-30_fangcang,2022-03-30_yiyuan,2022-03-31_fangcang,2022-03-31_yiyuan,2022-04-01_fangcang,2022-04-01_yiyuan,2022-04-02_fangcang,2022-04-02_yiyuan,2022-04-03_fangcang,2022-04-03_yiyuan,2022-04-04_fangcang,2022-04-04_yiyuan,2022-04-05_fangcang,2022-04-05_yiyuan,2022-04-06_fangcang,2022-04-06_yiyuan,2022-04-07_fangcang,2022-04-07_yiyuan,2022-04-08_fangcang,2022-04-08_yiyuan,2022-04-09_fangcang,2022-04-09_yiyuan,2022-04-10_fangcang,2022-04-10_yiyuan,2022-04-11_fangcang,2022-04-11_yiyuan,2022-04-12_fangcang,2022-04-12_yiyuan,2022-04-13_fangcang,2022-04-13_yiyuan,2022-04-14_fangcang,2022-04-14_yiyuan,2022-04-15_fangcang,2022-04-15_yiyuan,2022-04-16_fangcang,2022-04-16_yiyuan,2022-04-17_fangcang,2022-04-17_yiyuan,2022-04-18_fangcang,2022-04-18_yiyuan,2022-04-19_fangcang,2022-04-19_yiyuan,2022-04-20_fangcang,2022-04-20_yiyuan,2022-04-21_fangcang,2022-04-21_yiyuan,2022-04-22_fangcang,2022-04-22_yiyuan,2022-04-23_fangcang,2022-04-23_yiyuan
PudongNew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,119.0,0.0,286.0,0.0,529.0,0.0,707.0,0.0,778.0,0.0,881.0,0.0,1017.0,0.0,1218.0,0.0,1376.0,0.0,1376.0,0.0,1807.0,0.0,2134.0,0.0,2596.0,0.0,2704.0,0.0,3112.0,0.0,3229.0,0.0,3838.0,0.0,5090.0,0.0,5458.0,0.0,6256.0,0.0,6269.0,0.0,6707.0,0.0,6344.0,0.0,6506.0,0.0,6108.0,0.0,5867.0,0.0,5542.0
Huangpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,18.0,0.0,30.0,0.0,37.0,0.0,41.0,0.0,67.0,0.0,80.0,0.0,86.0,0.0,102.0,0.0,102.0,0.0,124.0,0.0,161.0,0.0,257.0,0.0,285.0,0.0,382.0,0.0,455.0,0.0,681.0,0.0,947.0,0.0,1191.0,0.0,1372.0,0.0,1531.0,0.0,1745.0,0.0,2062.0,0.0,2263.0,0.0,2345.0,0.0,2684.0,0.0,2433.0
Xuhui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,31.0,0.0,64.0,0.0,75.0,0.0,93.0,0.0,129.0,0.0,171.0,0.0,204.0,0.0,211.0,0.0,228.0,0.0,228.0,0.0,283.0,0.0,386.0,0.0,407.0,0.0,431.0,0.0,445.0,0.0,499.0,0.0,641.0,0.0,948.0,0.0,1215.0,0.0,1375.0,0.0,1519.0,0.0,1515.0,0.0,1588.0,0.0,1734.0,0.0,2002.0,0.0,2042.0,0.0,2116.0
Changning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,13.0,0.0,21.0,0.0,64.0,0.0,62.0,0.0,69.0,0.0,82.0,0.0,83.0,0.0,89.0,0.0,89.0,0.0,145.0,0.0,160.0,0.0,178.0,0.0,171.0,0.0,170.0,0.0,260.0,0.0,348.0,0.0,490.0,0.0,711.0,0.0,822.0,0.0,866.0,0.0,1033.0,0.0,1028.0,0.0,1125.0,0.0,1157.0,0.0,1271.0,0.0,1203.0
Jingan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,30.0,0.0,37.0,0.0,45.0,0.0,49.0,0.0,59.0,0.0,82.0,0.0,109.0,0.0,108.0,0.0,119.0,0.0,119.0,0.0,159.0,0.0,192.0,0.0,211.0,0.0,227.0,0.0,236.0,0.0,311.0,0.0,359.0,0.0,423.0,0.0,511.0,0.0,646.0,0.0,769.0,0.0,953.0,0.0,1144.0,0.0,1276.0,0.0,1387.0,0.0,1439.0,0.0,1397.0
Putuo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,14.0,0.0,20.0,0.0,26.0,0.0,31.0,0.0,43.0,0.0,82.0,0.0,103.0,0.0,102.0,0.0,108.0,0.0,108.0,0.0,143.0,0.0,157.0,0.0,175.0,0.0,175.0,0.0,205.0,0.0,254.0,0.0,299.0,0.0,335.0,0.0,394.0,0.0,536.0,0.0,858.0,0.0,875.0,0.0,943.0,0.0,956.0,0.0,993.0,0.0,994.0,0.0,993.0
Hongkou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,14.0,0.0,15.0,0.0,23.0,0.0,25.0,0.0,54.0,0.0,65.0,0.0,70.0,0.0,77.0,0.0,77.0,0.0,103.0,0.0,117.0,0.0,118.0,0.0,118.0,0.0,132.0,0.0,215.0,0.0,336.0,0.0,510.0,0.0,794.0,0.0,950.0,0.0,1213.0,0.0,1412.0,0.0,1503.0,0.0,1556.0,0.0,1556.0,0.0,1912.0,0.0,1843.0
Yangpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,6.0,0.0,9.0,0.0,14.0,0.0,25.0,0.0,44.0,0.0,74.0,0.0,84.0,0.0,93.0,0.0,93.0,0.0,133.0,0.0,142.0,0.0,173.0,0.0,223.0,0.0,238.0,0.0,297.0,0.0,350.0,0.0,398.0,0.0,671.0,0.0,753.0,0.0,770.0,0.0,801.0,0.0,844.0,0.0,1036.0,0.0,1075.0,0.0,1149.0,0.0,1172.0
Minhang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,63.0,0.0,77.0,0.0,94.0,0.0,149.0,0.0,199.0,0.0,249.0,0.0,305.0,0.0,313.0,0.0,326.0,0.0,326.0,0.0,436.0,0.0,481.0,0.0,542.0,0.0,606.0,0.0,622.0,0.0,859.0,0.0,1158.0,0.0,1430.0,0.0,1690.0,0.0,2562.0,0.0,2651.0,0.0,2908.0,0.0,3203.0,0.0,3432.0,0.0,3344.0,0.0,3418.0,0.0,3260.0
Baoshan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,25.0,0.0,57.0,0.0,56.0,0.0,60.0,0.0,69.0,0.0,104.0,0.0,136.0,0.0,137.0,0.0,143.0,0.0,143.0,0.0,151.0,0.0,170.0,0.0,195.0,0.0,207.0,0.0,240.0,0.0,210.0,0.0,188.0,0.0,208.0,0.0,259.0,0.0,285.0,0.0,356.0,0.0,525.0,0.0,532.0,0.0,607.0,0.0,719.0,0.0,845.0,0.0,934.0
Jiading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,31.0,0.0,35.0,0.0,43.0,0.0,48.0,0.0,57.0,0.0,82.0,0.0,94.0,0.0,95.0,0.0,103.0,0.0,103.0,0.0,125.0,0.0,235.0,0.0,234.0,0.0,281.0,0.0,296.0,0.0,273.0,0.0,255.0,0.0,378.0,0.0,501.0,0.0,562.0,0.0,859.0,0.0,885.0,0.0,901.0,0.0,885.0,0.0,893.0,0.0,872.0,0.0,850.0
