Date,Shanghai,PudongNew,Minhang,Xuhui,Huangpu,Jiading,Jingan,Yangpu,Baoshan,Putuo,Hongkou,Qingpu,Changning,Fengxian,Songjiang,Jinshan,Chongming
2022-03-06,48,3,7,4,1,13,1,0,6,5,0,0,0,2,6,0,0
2022-03-07,55,4,13,13,0,12,0,0,6,1,1,0,0,0,4,1,0
2022-03-08,65,3,12,9,0,8,2,0,11,2,0,3,1,0,14,0,0
2022-03-09,81,9,25,6,1,16,4,1,2,1,4,0,1,1,9,0,0
2022-03-10,75,10,14,7,1,6,2,0,10,4,6,5,1,0,8,0,0
2022-03-11,83,9,17,12,5,12,4,0,9,0,2,1,1,1,5,4,0
2022-03-12,65,34,11,1,3,3,2,0,3,0,0,0,2,0,1,4,0
2022-03-13,169,39,29,18,12,19,10,3,3,6,5,4,4,2,8,7,0
2022-03-14,139,23,26,12,23,23,6,1,2,0,4,0,1,3,10,4,0
2022-03-15,202,42,31,24,12,21,10,2,11,9,6,6,4,5,11,8,0
2022-03-16,158,44,18,7,9,41,3,2,10,3,10,1,4,2,4,0,0
2022-03-17,260,35,82,36,20,35,4,2,14,7,7,1,1,2,10,1,3
2022-03-18,374,67,59,40,15,44,12,8,27,23,19,16,7,7,13,17,0
2022-03-19,509,135,53,61,36,81,15,14,17,25,7,5,12,6,16,3,23
2022-03-20,758,220,265,46,42,40,32,8,13,18,12,4,13,13,9,11,12
2022-03-21,896,169,122,130,49,103,44,10,67,31,23,5,26,22,39,16,40
2022-03-22,981,237,305,87,59,111,28,3,16,21,13,20,19,8,31,4,19
2022-03-23,983,218,256,106,20,69,48,11,69,34,26,10,11,12,34,5,54
2022-03-24,1609,193,490,167,102,130,70,21,87,38,29,13,59,24,92,12,82
2022-03-25,2269,1914,206,3,23,19,2,11,4,9,4,13,4,0,15,1,41
2022-03-26,2676,323,972,331,160,242,108,23,153,69,50,22,29,84,79,4,27
2022-03-27,3500,1427,619,277,56,251,70,35,94,70,27,31,45,45,190,13,236
2022-03-28,4477,2506,370,91,283,209,104,47,311,81,8,57,115,115,94,19,67
2022-03-29,5982,2183,987,1100,110,255,175,99,363,113,73,87,30,96,228,26,55
2022-03-30,5653,2207,780,404,361,158,102,100,504,146,84,77,128,130,246,33,193
2022-03-31,4502,2407,392,226,121,54,164,174,17,15,128,95,256,183,184,42,44
2022-04-01,6311,2584,1043,639,260,200,189,134,45,245,61,87,37,161,493,49,84
2022-04-02,8226,2038,829,1042,659,617,324,274,485,388,342,232,100,157,567,60,113
2022-04-03,9006,3654,940,499,824,415,338,374,467,321,188,232,104,119,263,103,165
2022-04-04,13354,7071,1381,1229,970,237,50,220,265,254,608,314,33,64,559,52,47
2022-04-05,17077,8145,2937,920,656,481,232,623,554,483,410,384,84,144,796,77,79
2022-04-06,19982,8457,2409,1107,1044,1408,545,630,660,1033,668,470,350,278,781,79,63
2022-04-07,21222,9050,2257,2076,1380,933,381,601,414,957,594,493,852,92,751,129,262
2022-04-08,23624,7286,2854,1629,2607,1505,665,701,2821,1093,378,342,614,97,771,90,170
2022-04-09,24943,11130,4624,1150,548,369,602,1080,2261,653,349,557,757,124,500,68,171
2022-04-10,26087,6732,3189,3203,1761,1405,603,1877,1839,1001,1238,877,387,38,1825,57,55
2022-04-11,23342,8306,3007,1771,2223,208,552,1420,1024,1877,1375,331,393,68,691,38,57
2022-04-12,26330,11049,4245,1108,1804,986,1056,1159,295,1170,931,524,1133,33,712,39,86
2022-04-13,27719,15027,2939,1492,1408,721,220,1185,651,475,1488,319,957,83,657,34,63
2022-04-14,23072,11656,2378,1342,2013,803,266,817,417,264,930,304,998,35,761,28,60
2022-04-15,23513,10282,2037,1689,1384,741,433,1411,1323,426,1497,536,752,106,773,31,92
